Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Dark_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-209.09348482107615,49.00293346461822,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Unpolarized_A_IR,C4,PI,,,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-230.4928526644165,0.0,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Co-Polarized_Green,C13,PI,-199.62635215098325,30.89325352748814,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Co-Polarized_Red,C12,PI,-205.716007157331,40.340190952348294,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Co-Polarized_IR,C15,PI,-223.92473451270183,70.26585072821175,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-228.7405266056049,10.218549175095916,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-213.7930959726772,63.9506909225796,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Fast_3.75mm,Cross-Polarized_IR,C21,PI,,,Day_1,Dark,Fast,3.75mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_A_Red,C2,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Unpolarized_B_IR,C10,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Co-Polarized_Green,C13,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Co-Polarized_Red,C12,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Co-Polarized_IR,C15,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Cross-Polarized_Green,C19,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Cross-Polarized_Red,C18,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Slow_2.5mm,Cross-Polarized_IR,C21,PI,,,Day_1,Dark,Slow,2.5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_A_Green,C5,PI,-229.48113072971947,63.16784542972489,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_A_Red,C2,PI,-335.40031984311094,92.24641520364607,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Unpolarized_B_IR,C10,PI,-261.5729201526272,0.0,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Co-Polarized_Green,C13,PI,-211.02194078647628,55.871612998692484,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Co-Polarized_Red,C12,PI,-177.0612597871762,230.34391501175784,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Co-Polarized_IR,C15,PI,-231.64731663247377,102.26527962511744,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Cross-Polarized_Green,C19,PI,-210.94853406746597,44.36328455623781,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Cross-Polarized_Red,C18,PI,-193.21132746819737,33.813460910600924,Day_1,Dark,Intermediate,5mm,Experiment_2
Dark_Intermediate_5mm,Cross-Polarized_IR,C21,PI,-200.00823672414867,46.45794959089918,Day_1,Dark,Intermediate,5mm,Experiment_2
