Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Medium_Fast_5mm,Unpolarized_A_Red,C2,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Unpolarized_B_Green,C11,PI,-249.85654564469044,0.0,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Unpolarized_B_IR,C10,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Co-Polarized_Green,C13,PI,-211.61289481612732,41.51349744767976,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Co-Polarized_Red,C12,PI,-206.33077162119093,36.473223780241184,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Co-Polarized_IR,C15,PI,-216.25240981004708,37.3602633216511,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Cross-Polarized_Green,C19,PI,-162.4648610832152,0.0,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Cross-Polarized_Red,C18,PI,-210.2273197467873,0.0,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Fast_5mm,Cross-Polarized_IR,C21,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,-240.9298706554444,66.34173973062848,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-207.90819635236383,52.31258872139983,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-216.5553338324478,80.55863388762178,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,-262.0893612347786,0.0,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,-236.10636301060717,21.020068229398102,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,-203.63683805837545,43.346961254809926,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,-243.4316710454472,190.56749118913265,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,-256.7163402127407,211.0247154546556,Day_1,Medium,Intermediate,2.5mm,Experiment_2
